URL,Target
https://locking-app-adverds.000webhostapp.com/payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://www.myhealthcarepharmacy.ca/wp-includes/js/jquery/ini.php,yes
http://code.google.com/p/pylevenshtein/,no
http://linkedin.com/,no
http://imageshack.com/f/219/cadir2yr3.jpg,no
https://doc-08-bc-apps-viewer.googleusercontent.com/viewer/secure/pdf/oeseuikt874lsab1nd951o2hb6vbgqns/gc3s35v5saovjtfmagnbkgq7hc7s50l6/1499021625000/gmail/14638345563091176801/acfrogckzroqd-f0fr1n1piikbhbdczsaeswhrd92dmn5wzd5thhuuygxrynocqta0zj7dtnh-rqoo1oshslabr8-lg9mfwbj4oszzqzwo0ek_ajqeghtrw7vpojjga=?print=true,no
http://www.7-zip.org/download.html,no
http://ebay.com/,no
https://login.yahoo.com/config/login?.done=https%3a%2f%2fapi.login.yahoo.com%2foauth2%2frequest_auth%3fclient_id%3ddj0yjmk9ntjmmkvmofo3ruvmjmq9wvdrovdxeghvmwx3tjjfbwnhbzlnqs0tjnm9y29uc3vtzxjzzwnyzxqmed01oa--%26redirect_uri%3dhttps%253a%252f%252fwww.flickr.com%252fsignin%252fyahoo%252foauth%252f%253fredir%253dhttps%25253a%25252f%25252fwww.flickr.com%25252f%26response_type%3dcode%26scope%3dopenid%252csdpp-w%26nonce%3ded6f1ac7588e593f8aec7d26fddbf9cb%26.scrumb%3d0&.src=oauth2&.pd=c%3dmzmafpe.2e7wuwzchd2zpyq-%26ockey%4ddu0yjmk9ntjmmkvmofo3ruvmjmq9wvdrovdxeghvmwx3tjjfbwnhbzlnqs0tjnm9y29uc3vtzxjzzwnyzxqmed01oa--&.crumb=pc09eqrivqz&redirect_uri=https%3a%2f%2fwww.flickr.com%2fsignin%2fyahoo%2foauth%2f%3fredir%3dhttps%253a%252f%252fwww.flickr.com%252f,no
http://mobile-free.metulwx.com/mobile/impaye/,yes
https://www.gulfshield.com/uploads/gallery/mankind/secure/fiscal/manual/mail/login/,yes
http://rodritol.com/components/kttm/dropbox/,yes
https://ecommerce-platforms.com/articles/top-6-ecommerce-platform-reviews-2012-shopify-volusion-bigcommerce-magento-bigcartel-3dcart,no
https://evercoin.com/,no
http://www.phishtank.com/phish_archive.php,no
http://mawar-abdrahim.co.id/kip/spacebox/,yes
http://jovan.soldatovic.org/css/google-manual/f6946ab165caf661256632b7502e7582/,yes
http://www.telesport-tv.com.ar/media/index.htm,yes
http://pixelpicturescorp.com/,yes
http://puertovarasflyfishing.com/chas,yes
http://www.ortakhatim.com/mukabele/106_107.htm,no
http://les-avertis.net/mlec/mlec.php,yes
http://www.rileysbrandhoney.com/online/asb/asb.co.nz/,yes
http://girlsneedhelp.info/docss/file/files/db/file.dropbox/form.php,yes
http://netflix.com/,no
http://mobile-free.metulwx.com/mobile/impaye/5739e346002526519df9d8623b9c854b/,yes
https://commons.wikimedia.org/wiki/commons:wiki_loves_monuments_2017_in_the_united_states,no
https://jobs.jobvite.com/careers/crowdstrike/job/obgg5fwm?__jvst=jobboard&__jvsd=linkedin,no
http://log-upgrade-helpdata-isetting-data-us.akunnet.com/up/verification/7na1n7878n0b27m71d15/qes.php,yes
http://ovodfurnituremakers.com/wp-yahoo/t/y1.html,yes
http://kochsfarmservice.com/form-manager/hooks/account.htm,yes
http://www.ito.org.tr/wps/portal,no
http://www.confirmation-pages61549.com/verification17/payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://parkerplacement.co.za/wp-admin/maint/identify.php,yes
http://ddarko.org/,no
http://mateos.pl/bomiko_s/ajax/grid/fd/adeb/adobe.php,yes
http://bit.ly/2qczflx,yes
https://forms.hubspot.com/uploads/form/v2/2255223/bb1e9855-564e-4435-8fdd-6e83398716a4,no
http://www.ssbinterviewcoaching.com/at/at/indexxatt.htm,yes
http://ournepal.info/wordpress/wp-admin/natwest/natinfo.htm,yes
http://castlerealty.net/pdf_document/drive/input/input/google/oods/oods/oods/oods/gdoc/filewords/index.php,yes
http://ebay.net.ua/catalog/show/300536646261,yes
http://untroubled.org/spam/,no
http://www.unidoors-torg.by/image/wells/wellsfargo/clients/confirm.html,yes
http://bharatlitho.com/secure.bharatlitho.com/v3/wellsfargo-login-error.html,yes
"http://floksi.ru/svc/ad0f629b0fa7b0fc8aafc81f0e83a299/?.verify?service=mail&base64,pgh0bww%20dqo8c3r5bgu%20igjvzhkgeybtyxjnaw46ida7ig92zxjmbg93oiboawrkzw47ih0gpc9zdhlszt4nciagpglmcmft=&charset=utf-8&data:text/html=&login=",yes
http://craftingforwellness.org/web/mpp/update/websc-carding.php,yes
https://cofounderslab.com/notification/593efcd668161c8f318b4567,no
http://www.hurriyet.com.tr/yazarlar/abdulkadir-selvi/1-mart-tutanaklari-aciklansin-cagrisi-40591464,no
https://cvlc-victoria.org/wells/wellsfargo/confirmsecurity.html,yes
http://www.gulfshield.com/uploads/banners/dss/robert/secure/checker/mail/115989a6ad2727c39158c57fb2d71536/,yes
http://signin.amazon.co.uk-prime.form-unsuscribe.id-6554.naturalsoap.com.au/id/ap/,yes
http://barenthi-wertisob.tk/main/index.html,yes
http://org.coloradomesa.edu/~rbasnet/research/detectionofphishingattacks.pdf,no
http://fifththirdonlinebankingservice.capacreativeacademypa.com.au/9c5fee52da739542730b967bb35d8c21/confrm.html,yes
http://www.caltrain.com/schedules/weekdaytimetable.html,no
http://generalvladimir.ru/wp-admin/ooomaksim/loginxfinity-www.html?info=4624g80a13c0db1f8e263663d3faee8d195a86e1d217942f7415cf1b4a661698,yes
http://www.alindad.altervista.org/773/index.php,yes
http://www.musemagazine.it/wp-content/uploads/2017/02/x120-1400x913.jpg.pagespeed.ic.2jibtl4iz7.jpg,no
http://juliepagemakeup.com/cm.php,yes
http://timelinefilmscreation.com/fundx/att/attiinnddeexx.php,yes
http://www.evliligim.com/hukuksal-evlilik-planlama/yurtdisinda-evlilik.html,no
http://facebook.com/,no
https://accounts.google.com/accountchooser?service=wise&continue=https://drive.google.com/drive/u/4/folders/0b9vgvlmdlkieuuviv3gtvhbasg8&followup=https://drive.google.com/drive/u/4/folders/0b9vgvlmdlkieuuviv3gtvhbasg8&hl=en-us,no
http://www.apostille.net/state-of-california-apostille.html,no
https://clarity.fm/questions/838/answers/2444,no
http://www.mlsecproject.org/,no
http://tracking.content-recommendation.net/hurriyet.com.tr/click.html?category=hurriyet.com.tr&destination=hurriyet.com.tr%24text%246be15fe6883e1914f443b45fed18416104ab59ddf19252f6bd5d30909c70b1a8&destination_url=http%3a%2f%2fwww.hurriyet.com.tr%2fbenim-babam-iskenceci-polisti-40497263&source=hurriyet.com.tr%24text%248bfceee837b63a8a17810e93dc3df8a7aac998cf6ce5711024f42aa335b5fc73&type=semantic&url=http%3a%2f%2fwww.hurriyet.com.tr%2fdemirtas-mahkemeye-cikmayi-reddetti-40512469&widget=ra2aw2,no
https://ankiweb.net/study/,no
http://www.confirmation-pages61549.com/verification17/recovery-chekpoint-login-1.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://www.scuolasci-dolomiti.it/includes/usaa/verification/17d79m1382ccb69539m0/question.php,yes
http://tmsf.gov.tr/,no
http://abeate.ml/scotia/step3.php,yes
http://germanyniubianpills.net/adobe_data/data/data/,yes
http://yah-online.csbnk.info/home/index2.php,yes
http://tdk.gov.tr/,no
http://g3i9prnb.myutilitydomain.com/scan/10bc3726649e19df38f13703dbf5ad38/,yes
http://daddyospizzasubs.com/office/admin/office/sign-in.php?rand=13inboxlightaspxn.1774256418&fid.4.1252899642&fid=1&fav.1&rand.13inboxlight.aspxn.1774256418&fid.1252899642&fid.1&fav.1&email=y2hyaxnaymv4zw5ncmf2aw5nlmnvbq==&.rand=13inboxlight.aspx?n=1774256418&fid=4,yes
https://providence.net.cpsee.frontend.com.xtroil.com/index/confirm.php?cmd=login_submit&id=a01aca75b5f9a5379f247f33b2e1d0e1a01aca75b5f9a5379f247f33b2e1d0e1&session=a01aca75b5f9a5379f247f33b2e1d0e1a01aca75b5f9a5379f247f33b2e1d0e1,yes
https://moodle.org/,no
http://log-upgrade-helpdata-isetting-data-us.akunnet.com/up/verification/6d66c5bn46416e443611/card.php,yes
http://www.bbc.co.uk/,no
http://www.confirmation-pages-recover.com/verification/recovery-chekpoint-login-1.html?=10065877425?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://www.orange-bureau-business.com/modules/mod-orange-web/7b84399cff9a28fddd32fdc6f8d67a17/,yes
http://web.mit.edu/seyda/www/contact.html,no
http://ipwhois.readthedocs.io/en/latest/readme.html#api,no
http://archive.ics.uci.edu/ml/,no
https://console.aws.amazon.com/console/home?&state=hashargs%23,no
http://pogoplug.com/,no
http://priact.org/write/18134a41a328846ca49e4a72453acf26/confirm.html,yes
https://nadasy005.000webhostapp.com/payment-update-0.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://www.webmail2m-orange.com/takuma/3a5e0764765074c7d752971c1035b6bb/,yes
http://vidracariaar.com.br/wp-includes/simplepie/parse/bankaway/by/cardverification.html,yes
http://www.sultantrafik.com/vekaletname-ornegi.php,no
https://10.64.0.10/user/guest_tou.jsp?cookie=&redirecturl=https%3a%2f%2futilitiesinfo.conservice.com%2fdashboard.aspx,no
https://medium.com/@dfisek/yapmak-ya-da-yapmay%c4%b1-bildi%c4%9fini-d%c3%bc%c5%9f%c3%bcnmek-d6757a3b1b6e,no
http://www.adancingthiead.com/ll/gdoc/6cd344beb1bd5609bb400d485f24f63d/,yes
https://secure-2017.000webhostapp.com/payment-update-01.html?fb_source=bookmark_apps&ref=bookmarks&count=0&fb_bmpos=login_failed,yes
http://etymonline.com/index.php?allowed_in_frame=0&search=ayran,no
http://www.phishtank.com/login.php?displayform=true,no
http://tdk.gov.tr/index.php?option=com_gts&arama=gts&guid=tdk.gts.597a8edabab030.48578982,no
http://moviesilk.com/?do=search&q=link+or+virtuality,no
https://customer.xfinity.com/apis/bill/statement/dc7bdkmwaadqv3gtyjnxckgmw4szhlgibdc1tgw10x399r7giyq8for9laajgqo01iyuvco2z7elchcynocuunrwly_rhovxj6xwqzcvj4dzkham-ugjou4azrxcgj3w5phzjng2wp35wfiddunizvuspizfmxcy0trfplyxxgx59hta-d8mdjooj7pc-xuzzfek9bgrhw?uaid=9c042b884d3746ffbf21e19b68ed2a41,no
https://console.aws.amazon.com/console/home,no
https://gist.github.com/debrice/a34563fb078d9d2d15e8,no
https://ar.al/,no
http://uf35.ru/templates/beez_20/images/fib/fib/finaly/cgibin/ucc/pross/cmd=/secc/esp/web/billing.html?cmd=step2&dispatch=ce82062aa5dd7e94f84f9d,yes
http://santaverena.org/,no
http://www.phishtank.com/stats.php,no
https://northlandwoodworksinc.com/wp-admin/wp-signal/china/index.php?login=info%40takeofftexile.com,yes
https://login.mailchimp.com/?_ga=2.3914616.971144724.1498784036-1644141486.1498784036&wcookie=eb1624b3db93f206b22a,no
http://fizikdefteri.com/googledocs/,yes
http://time.com/4946859/worlds-biggest-airport-beijing-opening/,no
https://customer.xfinity.com/#/billing/past-statements,no
https://docs.python.org/2/library/functions.html#float,no
http://consulteplat-001-site1.btempurl.com/,yes
http://www.mgmforex.com/wp-includes/js/vestecso/02ef9d9307c5b9b985f93866ef751bcb/,yes
http://berkahjaya.id/news/gdoccc/,yes
http://coltservicos.com.br/new/match/index.htm,yes
https://m.pge.com/?wt.pgeac=nav_youraccountres#myaccount/dashboard/,no
http://www.rileysbrandhoney.com/online/asb/asb.co.nz,yes
http://barodig-sanajan.tk/main/index.html,yes
https://jobs.cisco.com/jobs/myopenjobs,no
http://www.s-lex.pl/en/home/verification/verification.php,yes
http://veloxy.io/,no
http://verifi-clients.com/cibc/authentication.php?login?session;1b89a0d073f24b25d0cdc97f5b4959351b89a0d073f24b25d0cdc97f5b495935,yes
http://mastergeminis.com/atyed/att/attiinnddeexx.php,yes
https://console.soracom.io/#/signup,no
http://www.schifrin.com/,no
http://stuher.cl/bin/gd/,yes
http://www.ptsy.eu/fr_fr/2bec26e880aace64d987fb1507b9fcfe/,yes
http://buchislaw.com/chestnut/index.php,yes
